cohort,attribution_method,evaluation_domain,mean_edi,rank
full,gradcam,combined,0.5682138491564251,4.0
full,gradcam,ham,0.5493579747216721,2.0
full,gradcam,isic,0.4986572210187673,1.0
full,gradcam,train_ham_test_isic,0.5598528270660433,3.0
full,gradcampp,combined,0.7187381826981623,2.0
full,gradcampp,ham,0.7283808967941732,4.0
full,gradcampp,isic,0.7199066076925266,3.0
full,gradcampp,train_ham_test_isic,0.717819409711501,1.0
conventional_only,gradcam,combined,0.5602842252553484,4.0
conventional_only,gradcam,ham,0.5316036414048527,2.0
conventional_only,gradcam,isic,0.49168614681258976,1.0
conventional_only,gradcam,train_ham_test_isic,0.5474434964416541,3.0
conventional_only,gradcampp,combined,0.7069154680481767,2.0
conventional_only,gradcampp,ham,0.7166357528755231,4.0
conventional_only,gradcampp,isic,0.7136919180500998,3.0
conventional_only,gradcampp,train_ham_test_isic,0.7036941331801861,1.0
any_fallback,gradcam,combined,0.6830654985623434,2.0
any_fallback,gradcam,ham,0.7938214873148003,4.0
any_fallback,gradcam,isic,0.6133630784113243,1.0
any_fallback,gradcam,train_ham_test_isic,0.7564427490629442,3.0
any_fallback,gradcampp,combined,0.8039223574839551,4.0
any_fallback,gradcampp,ham,0.7660889904277344,2.0
any_fallback,gradcampp,isic,0.7348483083221906,1.0
any_fallback,gradcampp,train_ham_test_isic,0.7667651353665227,3.0
baseline_conventional,gradcam,combined,0.5675375590999767,4.0
baseline_conventional,gradcam,ham,0.5493579747216721,2.0
baseline_conventional,gradcam,isic,0.4991608173814987,1.0
baseline_conventional,gradcam,train_ham_test_isic,0.5605016587890227,3.0
baseline_conventional,gradcampp,combined,0.712842568296356,2.0
baseline_conventional,gradcampp,ham,0.7244267018531104,4.0
baseline_conventional,gradcampp,isic,0.7157283941994357,3.0
baseline_conventional,gradcampp,train_ham_test_isic,0.7119725016030864,1.0
condition_conventional,gradcam,combined,0.5614337041847038,4.0
condition_conventional,gradcam,ham,0.5316036414048527,2.0
condition_conventional,gradcam,isic,0.4912567504533801,1.0
condition_conventional,gradcam,train_ham_test_isic,0.5470223981443604,3.0
condition_conventional,gradcampp,combined,0.7130750198415474,1.0
condition_conventional,gradcampp,ham,0.7257329281102464,3.0
condition_conventional,gradcampp,isic,0.7263619417146725,4.0
condition_conventional,gradcampp,train_ham_test_isic,0.7151290147535776,2.0
