cohort,attribution_method,n,unique_image_clusters,mean_edi,median_edi,sd_edi,q025_edi,q975_edi,mean_corr_drift,mean_structural_drift
full,gradcam,3840,160,0.544020467990727,0.5048209840016797,0.36471885642955437,0.0254103756232415,1.2594564498812175,0.354920367410411,0.7331205685710429
full,gradcampp,3840,160,0.7212112742240907,0.7608487863572386,0.2650484597681538,0.15623401665982795,1.212360777320983,0.47985437051275515,0.9625681779354264
conventional_only,gradcam,3601,160,0.532695899330423,0.4864818953658537,0.36475251642307505,0.0245477096642083,1.2478123222027482,0.34725816054417075,0.7181336381166755
conventional_only,gradcampp,2998,160,0.7100208006426625,0.761429051100031,0.2640438317552249,0.1481481326930276,1.188952762279396,0.47024239964113057,0.9497992016441944
any_fallback,gradcam,239,94,0.7146471280148032,0.6698078275930173,0.3194231854344875,0.10784746053604873,1.3022388392955229,0.4703664214912943,0.9589278345383121
any_fallback,gradcampp,842,149,0.7610557395413378,0.7561706838120614,0.2649387621949124,0.2387693594777879,1.2978072175240647,0.5140784663240741,1.0080330127586012
baseline_conventional,gradcam,3792,160,0.544093104921388,0.5049846254663815,0.3658860245018746,0.025025701638582806,1.261073038046298,0.355079949725373,0.7331062601174031
baseline_conventional,gradcampp,3402,160,0.7161588009934008,0.7605779879746599,0.2624798962695057,0.15889343731907166,1.2003815517595395,0.47514176284418036,0.9571758391426213
condition_conventional,gradcam,3647,160,0.532828553205064,0.4864818953658537,0.3636232516278124,0.024569965350177532,1.2473315855990927,0.34723080278226187,0.7184263036278661
condition_conventional,gradcampp,3362,160,0.7199126772117154,0.7646177903400457,0.2641691472610733,0.15530401750226452,1.206827400487907,0.4783689595291666,0.9614563948942643
