cohort,attribution_method,preprocess,mean_edi,rank
full,gradcam,diffusion,0.6173691277440561,5.0
full,gradcam,dl_preprocess,0.716054864072028,6.0
full,gradcam,dullrazor,0.4591727361938232,1.0
full,gradcam,hdbmie,0.5196444320907231,4.0
full,gradcam,navier_stokes,0.46722203257184997,2.0
full,gradcam,telea,0.48465961527188145,3.0
full,gradcampp,diffusion,0.7303587029062643,5.0
full,gradcampp,dl_preprocess,0.7171029217560151,4.0
full,gradcampp,dullrazor,0.7142915632255477,3.0
full,gradcampp,hdbmie,0.7484023291232569,6.0
full,gradcampp,navier_stokes,0.714226253716489,2.0
full,gradcampp,telea,0.7028858746169717,1.0
conventional_only,gradcam,diffusion,0.6097339515388085,5.0
conventional_only,gradcam,dl_preprocess,0.6985248246098085,6.0
conventional_only,gradcam,dullrazor,0.4592561568062723,2.0
conventional_only,gradcam,hdbmie,0.5193725591905572,4.0
conventional_only,gradcam,navier_stokes,0.4588732225898202,1.0
conventional_only,gradcam,telea,0.480529726370218,3.0
conventional_only,gradcampp,diffusion,0.716220861421026,5.0
conventional_only,gradcampp,dl_preprocess,0.7072969464654287,4.0
conventional_only,gradcampp,dullrazor,0.7027629164739517,2.0
conventional_only,gradcampp,hdbmie,0.7319947241401941,6.0
conventional_only,gradcampp,navier_stokes,0.7058135769648652,3.0
conventional_only,gradcampp,telea,0.6953423674822257,1.0
any_fallback,gradcam,diffusion,0.6785580750790682,4.0
any_fallback,gradcam,dl_preprocess,0.805374588950956,6.0
any_fallback,gradcam,dullrazor,0.4548070574756525,1.0
any_fallback,gradcam,hdbmie,0.5367724248011739,2.0
any_fallback,gradcam,navier_stokes,0.7133131458516778,5.0
any_fallback,gradcam,telea,0.6126861712234475,3.0
any_fallback,gradcampp,diffusion,0.7858225425791217,5.0
any_fallback,gradcampp,dl_preprocess,0.765406429668904,4.0
any_fallback,gradcampp,dullrazor,0.7570153717755793,3.0
any_fallback,gradcampp,hdbmie,0.8070009183484808,6.0
any_fallback,gradcampp,navier_stokes,0.7376722344858071,2.0
any_fallback,gradcampp,telea,0.7257061697856062,1.0
baseline_conventional,gradcam,diffusion,0.6166915192104403,5.0
baseline_conventional,gradcam,dl_preprocess,0.7161578273669572,6.0
baseline_conventional,gradcam,dullrazor,0.459644171538683,1.0
baseline_conventional,gradcam,hdbmie,0.519955856951201,4.0
baseline_conventional,gradcam,navier_stokes,0.4670511862601663,2.0
baseline_conventional,gradcam,telea,0.48505806820088043,3.0
baseline_conventional,gradcampp,diffusion,0.719639051189555,5.0
baseline_conventional,gradcampp,dl_preprocess,0.7093875127281146,3.0
baseline_conventional,gradcampp,dullrazor,0.7054030032850164,1.0
baseline_conventional,gradcampp,hdbmie,0.7395432588418472,6.0
baseline_conventional,gradcampp,navier_stokes,0.7172254593185066,4.0
baseline_conventional,gradcampp,telea,0.7057545205973651,2.0
condition_conventional,gradcam,diffusion,0.6105820104692887,5.0
condition_conventional,gradcam,dl_preprocess,0.6986632546527227,6.0
condition_conventional,gradcam,dullrazor,0.45878663714770157,1.0
condition_conventional,gradcam,hdbmie,0.5190674721551019,4.0
condition_conventional,gradcam,navier_stokes,0.45910759760556147,2.0
condition_conventional,gradcam,telea,0.4803685193934376,3.0
condition_conventional,gradcampp,diffusion,0.7267641816009894,5.0
condition_conventional,gradcampp,dl_preprocess,0.717464444880281,3.0
condition_conventional,gradcampp,dullrazor,0.7216779157524751,4.0
condition_conventional,gradcampp,hdbmie,0.7434217024579984,6.0
condition_conventional,gradcampp,navier_stokes,0.7078832769122576,2.0
condition_conventional,gradcampp,telea,0.7006068563819446,1.0
