cohort,condition,attribution_method,contrast,image_clusters,estimate,ci_low,ci_high,bootstrap_probability_positive
complete,dullrazor,gradcam,input_minus_baseline_training,40,0.22115092442065276,0.13813930245573308,0.30419878962691843,1.0
complete,dullrazor,gradcam,total_minus_baseline_training,40,0.19003373328210982,0.12908484393661923,0.2567621991495758,1.0
complete,dullrazor,gradcam,total_minus_input,40,-0.031117191138542943,-0.11266754425347711,0.056707709293605135,0.2328
complete,dullrazor,gradcampp,input_minus_baseline_training,40,0.029368207966558812,-0.03953457517814984,0.09761459009027992,0.7992
complete,dullrazor,gradcampp,total_minus_baseline_training,40,0.0018549791172319807,-0.04491963908806045,0.05011170845965734,0.506
complete,dullrazor,gradcampp,total_minus_input,40,-0.027513228849326832,-0.09810557525039224,0.04084841433887266,0.216
complete,telea,gradcam,input_minus_baseline_training,40,0.2765569154466006,0.19218071719586718,0.36419294520198997,1.0
complete,telea,gradcam,total_minus_baseline_training,40,0.2054827388474067,0.14279166489650683,0.27251112111666703,1.0
complete,telea,gradcam,total_minus_input,40,-0.0710741765991939,-0.15652717376275088,0.013976333859311688,0.0538
complete,telea,gradcampp,input_minus_baseline_training,40,-0.023628549506411023,-0.11054323014683454,0.062414922268629595,0.3054
complete,telea,gradcampp,total_minus_baseline_training,40,0.006885438185695092,-0.048403942736667704,0.06495817636065164,0.5958
complete,telea,gradcampp,total_minus_input,40,0.030513987692106115,-0.05423682419554791,0.1181070153645059,0.7582
conventional_only,dullrazor,gradcam,input_minus_baseline_training,22,0.2216016550331601,0.13513986463621583,0.31533553189423225,1.0
conventional_only,dullrazor,gradcam,total_minus_baseline_training,22,0.09500132526077733,0.05863593745612613,0.13786329693337881,1.0
conventional_only,dullrazor,gradcam,total_minus_input,22,-0.12660032977238275,-0.2291341538335167,-0.02209135949254745,0.0078
conventional_only,dullrazor,gradcampp,input_minus_baseline_training,34,0.02454901376090568,-0.05613620804582989,0.10072477739891236,0.7366
conventional_only,dullrazor,gradcampp,total_minus_baseline_training,34,-0.006698632622818446,-0.06329650260743531,0.04822770369878708,0.4076
conventional_only,dullrazor,gradcampp,total_minus_input,34,-0.031247646383724126,-0.10385643008345365,0.04372672721576017,0.2074
conventional_only,telea,gradcam,input_minus_baseline_training,22,0.24102935182897822,0.14717433211372652,0.33530305713485486,1.0
conventional_only,telea,gradcam,total_minus_baseline_training,22,0.11139772852503378,0.06739698450499398,0.16383126328492373,1.0
conventional_only,telea,gradcam,total_minus_input,22,-0.12963162330394443,-0.24034494236441234,-0.013392017164335454,0.0128
conventional_only,telea,gradcampp,input_minus_baseline_training,29,-0.09735777603445794,-0.1994043979387905,0.0010598461021203579,0.0262
conventional_only,telea,gradcampp,total_minus_baseline_training,29,-0.03895612346829502,-0.11074710280761049,0.03389058706792673,0.148
conventional_only,telea,gradcampp,total_minus_input,29,0.05840165256616292,-0.045782721415893346,0.1664364338834486,0.8736
