cohort,condition,attribution_method,source,image_clusters,mean_edi,median_image_mean_edi,ci_low,ci_high
complete,dullrazor,gradcam,input_only,40,0.2989205610761223,0.2746173521917378,0.22106650866353694,0.3797747012297998
complete,dullrazor,gradcam,baseline_training,40,0.07776963665546956,0.030002679503758546,0.044348587505653445,0.12013898056190218
complete,dullrazor,gradcam,condition_training,40,0.04944941536516733,0.023335920467704035,0.031197763271812,0.07168085835508746
complete,dullrazor,gradcam,total_pipeline,40,0.26780336993757936,0.19507739421458498,0.2031370005817769,0.3384245718145802
complete,dullrazor,gradcampp,input_only,40,0.7316265945972165,0.7796279653511295,0.672050545793264,0.7886104716470584
complete,dullrazor,gradcampp,baseline_training,40,0.7022583866306576,0.7279257525414324,0.6643816934123435,0.7379066871322573
complete,dullrazor,gradcampp,condition_training,40,0.6561837986990543,0.7025225089261922,0.6009049357216574,0.7081515793169572
complete,dullrazor,gradcampp,total_pipeline,40,0.7041133657478896,0.6965521194627191,0.6720510762891144,0.7369795042816323
complete,telea,gradcam,input_only,40,0.35432655210207015,0.31166507551587197,0.2729583027210452,0.43738458521751555
complete,telea,gradcam,baseline_training,40,0.07776963665546956,0.030002679503758546,0.04459178948000398,0.1181835888255689
complete,telea,gradcam,condition_training,40,0.05429038876060317,0.021611811090034017,0.03222288930551224,0.08108525684598086
complete,telea,gradcam,total_pipeline,40,0.28325237550287624,0.23375660387620306,0.21343322009301352,0.35434986056822826
complete,telea,gradcampp,input_only,40,0.6786298371242466,0.7539375473165386,0.5985744922058555,0.7551831213723135
complete,telea,gradcampp,baseline_training,40,0.7022583866306576,0.7279257525414324,0.6628066722563433,0.7380602092458366
complete,telea,gradcampp,condition_training,40,0.7301814030394231,0.7471335298162326,0.6885051270652982,0.7671462049751281
complete,telea,gradcampp,total_pipeline,40,0.7091438248163527,0.7479624698197963,0.6640326195415805,0.7511176479250775
conventional_only,dullrazor,gradcam,input_only,22,0.29155768703021945,0.2746173521917378,0.19500572557860932,0.3916642511694764
conventional_only,dullrazor,gradcam,baseline_training,22,0.06995603199705937,0.0248211611038042,0.03603674189769016,0.11003982419610861
conventional_only,dullrazor,gradcam,condition_training,22,0.04547622047061941,0.01780721639118285,0.020729688496625754,0.07688606783131062
conventional_only,dullrazor,gradcam,total_pipeline,22,0.1649573572578367,0.11820621969283501,0.10736735042376458,0.23103825496455793
conventional_only,dullrazor,gradcampp,input_only,34,0.7343655840959498,0.7796279653511295,0.6689011005356856,0.7947688822615658
conventional_only,dullrazor,gradcampp,baseline_training,34,0.7098165703350441,0.7390811032265647,0.6632168892435308,0.7546211398315912
conventional_only,dullrazor,gradcampp,condition_training,34,0.6757244674590472,0.758472638109063,0.614891755763111,0.7326151963536285
conventional_only,dullrazor,gradcampp,total_pipeline,34,0.7031179377122256,0.6905201161723503,0.6674049533997481,0.7391527987455782
conventional_only,telea,gradcam,input_only,22,0.3109853838260376,0.30104856263953383,0.21136067511350917,0.41227790818110877
conventional_only,telea,gradcam,baseline_training,22,0.06995603199705937,0.0248211611038042,0.03593240872814088,0.11077890499612367
conventional_only,telea,gradcam,condition_training,22,0.047816740709758415,0.017795700362724667,0.024582613630094473,0.07557537713949963
conventional_only,telea,gradcam,total_pipeline,22,0.18135376052209315,0.13837469251986803,0.11755074827249051,0.25634294630076815
conventional_only,telea,gradcampp,input_only,29,0.6255850697433722,0.6935977071562988,0.531470685109348,0.7138975313110842
conventional_only,telea,gradcampp,baseline_training,29,0.7229428457778302,0.7425757463212794,0.6805633458112773,0.7647532896193772
conventional_only,telea,gradcampp,condition_training,29,0.7211403416926567,0.7319042247998896,0.6635805966717374,0.7700729080932159
conventional_only,telea,gradcampp,total_pipeline,29,0.6839867223095352,0.7221126775934446,0.624728663795476,0.7375004266785865
