metric,preferred_direction,pairwise_complete_rows,preprocessing_condition,mean_edi_on_metric_cohort,mean_metric,edi_rank,metric_rank,absolute_rank_displacement
cosine_similarity,higher,12211,diffusion,0.3098556268656016,0.5807000407307661,5.0,6.0,1.0
cosine_similarity,higher,12211,dl_preprocess,0.29794896713346236,0.6259831299199287,4.0,4.0,0.0
cosine_similarity,higher,12211,dullrazor,0.3254729584377464,0.5882890793509,6.0,5.0,1.0
cosine_similarity,higher,12211,hdbmie,0.2882211342715987,0.6263849898111286,3.0,3.0,0.0
cosine_similarity,higher,12211,navier_stokes,0.2643227296315927,0.6355620136335863,1.0,1.0,0.0
cosine_similarity,higher,12211,telea,0.2709252104688859,0.6333752272830075,2.0,2.0,0.0
spearman_correlation,higher,12211,diffusion,0.3098556268656016,0.22534702479222213,5.0,6.0,1.0
spearman_correlation,higher,12211,dl_preprocess,0.29794896713346236,0.3012480158990347,4.0,3.0,1.0
spearman_correlation,higher,12211,dullrazor,0.3254729584377464,0.23277529674437156,6.0,5.0,1.0
spearman_correlation,higher,12211,hdbmie,0.2882211342715987,0.29879719352066375,3.0,4.0,1.0
spearman_correlation,higher,12211,navier_stokes,0.2643227296315927,0.31015199239498376,1.0,1.0,0.0
spearman_correlation,higher,12211,telea,0.2709252104688859,0.30704465880250975,2.0,2.0,0.0
mean_squared_error,lower,17280,diffusion,0.4131954743810727,0.08924614619831991,5.0,6.0,1.0
mean_squared_error,lower,17280,dl_preprocess,0.4183834176666406,0.06792178875429845,6.0,5.0,1.0
mean_squared_error,lower,17280,dullrazor,0.402361600187072,0.05891486299443484,4.0,3.0,1.0
mean_squared_error,lower,17280,hdbmie,0.38892815252065077,0.059057356269935676,3.0,4.0,1.0
mean_squared_error,lower,17280,navier_stokes,0.3626413017609829,0.05110382576644948,1.0,1.0,0.0
mean_squared_error,lower,17280,telea,0.3656987996812056,0.053652074807650704,2.0,2.0,0.0
mean_absolute_error,lower,17280,diffusion,0.4131954743810727,0.17822628722286832,5.0,6.0,1.0
mean_absolute_error,lower,17280,dl_preprocess,0.4183834176666406,0.14282628205538556,6.0,5.0,1.0
mean_absolute_error,lower,17280,dullrazor,0.402361600187072,0.13007996238900682,4.0,3.0,1.0
mean_absolute_error,lower,17280,hdbmie,0.38892815252065077,0.131156228098876,3.0,4.0,1.0
mean_absolute_error,lower,17280,navier_stokes,0.3626413017609829,0.11843397615440253,1.0,1.0,0.0
mean_absolute_error,lower,17280,telea,0.3656987996812056,0.12274827144356092,2.0,2.0,0.0
root_mean_squared_error,lower,17280,diffusion,0.4131954743810727,0.23786511500823235,5.0,6.0,1.0
root_mean_squared_error,lower,17280,dl_preprocess,0.4183834176666406,0.19588502122113932,6.0,5.0,1.0
root_mean_squared_error,lower,17280,dullrazor,0.402361600187072,0.18039088193114106,4.0,3.0,1.0
root_mean_squared_error,lower,17280,hdbmie,0.38892815252065077,0.18364412849086564,3.0,4.0,1.0
root_mean_squared_error,lower,17280,navier_stokes,0.3626413017609829,0.1628168525449039,1.0,1.0,0.0
root_mean_squared_error,lower,17280,telea,0.3656987996812056,0.16942234834673797,2.0,2.0,0.0
normalized_mean_squared_error,lower,17280,diffusion,0.4131954743810727,1.171009316722707,5.0,6.0,1.0
normalized_mean_squared_error,lower,17280,dl_preprocess,0.4183834176666406,0.9821324118566289,6.0,5.0,1.0
normalized_mean_squared_error,lower,17280,dullrazor,0.402361600187072,0.9447010669805549,4.0,3.0,1.0
normalized_mean_squared_error,lower,17280,hdbmie,0.38892815252065077,0.9615008358518715,3.0,4.0,1.0
normalized_mean_squared_error,lower,17280,navier_stokes,0.3626413017609829,0.8391625097367793,1.0,1.0,0.0
normalized_mean_squared_error,lower,17280,telea,0.3656987996812056,0.8720367949649771,2.0,2.0,0.0
lpips_distance,lower,17280,diffusion,0.4131954743810727,0.3881756870162437,5.0,6.0,1.0
lpips_distance,lower,17280,dl_preprocess,0.4183834176666406,0.3233981423354546,6.0,5.0,1.0
lpips_distance,lower,17280,dullrazor,0.402361600187072,0.3040777493281136,4.0,3.0,1.0
lpips_distance,lower,17280,hdbmie,0.38892815252065077,0.30788424845488105,3.0,4.0,1.0
lpips_distance,lower,17280,navier_stokes,0.3626413017609829,0.2776295030744071,1.0,1.0,0.0
lpips_distance,lower,17280,telea,0.3656987996812056,0.2873727530414625,2.0,2.0,0.0
pearson_correlation,higher,17280,diffusion,0.4131954743810727,0.4670091041918151,5.0,5.0,0.0
pearson_correlation,higher,17280,dl_preprocess,0.4183834176666406,0.46242359873515143,6.0,6.0,0.0
pearson_correlation,higher,17280,dullrazor,0.402361600187072,0.4844711414178109,4.0,4.0,0.0
pearson_correlation,higher,17280,hdbmie,0.38892815252065077,0.5094563079741773,3.0,3.0,0.0
pearson_correlation,higher,17280,navier_stokes,0.3626413017609829,0.5434248505080039,1.0,1.0,0.0
pearson_correlation,higher,17280,telea,0.3656987996812056,0.5401034331162096,2.0,2.0,0.0
ssim,higher,17280,diffusion,0.4131954743810727,0.4401044991419472,5.0,5.0,0.0
ssim,higher,17280,dl_preprocess,0.4183834176666406,0.4320213652991431,6.0,6.0,0.0
ssim,higher,17280,dullrazor,0.402361600187072,0.45304122891695053,4.0,4.0,0.0
ssim,higher,17280,hdbmie,0.38892815252065077,0.46741554097160976,3.0,3.0,0.0
ssim,higher,17280,navier_stokes,0.3626413017609829,0.5030049712240322,1.0,1.0,0.0
ssim,higher,17280,telea,0.3656987996812056,0.498550684079484,2.0,2.0,0.0
