formulation,preprocessing_condition,mean,rank
edi_primary,telea,0.3395882868470499,1
edi_primary,navier_stokes,0.3410090880783237,2
edi_primary,dullrazor,0.3568689147834928,3
edi_primary,hdbmie,0.36792304011929716,4
edi_primary,diffusion,0.37519433754368664,5
edi_primary,dl_preprocess,0.38947160456073754,6
edi_structural_weighted,telea,0.4023611285581067,1
edi_structural_weighted,navier_stokes,0.40400821447980084,2
edi_structural_weighted,dullrazor,0.42186987962533923,3
edi_structural_weighted,hdbmie,0.4349088031785616,4
edi_structural_weighted,diffusion,0.44264003026221627,5
edi_structural_weighted,dl_preprocess,0.45914976621292924,6
edi_correlation_weighted,telea,0.27681544513599304,1
edi_correlation_weighted,navier_stokes,0.2780099616768465,2
edi_correlation_weighted,dullrazor,0.29186794994164633,3
edi_correlation_weighted,hdbmie,0.30093727706003276,4
edi_correlation_weighted,diffusion,0.30774864482515707,5
edi_correlation_weighted,dl_preprocess,0.3197934429085459,6
edi_geometric,telea,0.3134206374914233,1
edi_geometric,navier_stokes,0.3148054429166444,2
edi_geometric,dullrazor,0.3302790175281622,3
edi_geometric,hdbmie,0.3402696454301392,4
edi_geometric,diffusion,0.34776784929622395,5
edi_geometric,dl_preprocess,0.36145089720786233,6
edi_maximum,telea,0.46515805619994927,1
edi_maximum,navier_stokes,0.46702286597075,2
edi_maximum,dullrazor,0.4868856464690451,3
edi_maximum,hdbmie,0.5018952975274305,4
edi_maximum,diffusion,0.510102825599161,5
edi_maximum,dl_preprocess,0.5288573133141412,6
edi_rms,telea,0.3632047806204784,1
edi_rms,navier_stokes,0.36469093310943634,2
edi_rms,dullrazor,0.3809933727845802,3
edi_rms,hdbmie,0.39284052965272565,4
edi_rms,diffusion,0.4000065500433781,5
edi_rms,dl_preprocess,0.41490431342843215,6
edi_zero_clipped_ssim,telea,0.33027017038050027,1
edi_zero_clipped_ssim,navier_stokes,0.331641450158622,2
edi_zero_clipped_ssim,dullrazor,0.34491557856720284,3
edi_zero_clipped_ssim,hdbmie,0.3563976700963904,4
edi_zero_clipped_ssim,diffusion,0.35970449301096624,5
edi_zero_clipped_ssim,dl_preprocess,0.37635056879973094,6
edi_symmetric_ssim,telea,0.223304794279759,1
edi_symmetric_ssim,navier_stokes,0.22425725285800416,2
edi_symmetric_ssim,dullrazor,0.2351512036666964,3
edi_symmetric_ssim,hdbmie,0.24244939855984066,4
edi_symmetric_ssim,diffusion,0.2476729067985002,5
edi_symmetric_ssim,dl_preprocess,0.2572646225944573,6
